Страна;Всего погибших
ВСЕГО;71170000
СССР;42000000
Китай;15500000
Германия;6900000
Польша;6200000
Индонезия;4000000
Индия;3036000
Япония;2500000
Французский Индокитай;2021000
Румыния;1200000
Бирма;1100000
Югославия;1027000
Филиппины;1000000
Эфиопия;860000
Малайзия;695000
Франция;665000
Венгрия;570000
Италия;479000
Греция;435000
Австрия;420000
США;417000
Великобритания;380000
Чехословакия;370000
Нидерланды;220000
Таиланд;128000
Бельгия;86000
Финляндия;83000
Сингапур;80000
Корея (в составе Японии);80000
Албания;58000
Тихоокеанские острова;57000
Португальский Тимор;55000
Канада;39000
Болгария;24000
Австралия;24000
Ливия;20000
Испания;15000
Новая Зеландия;12000
Норвегия;11000
ЮАР;8000
Люксембург;4000
Дания;4000
Мальта;2000
Бразилия;2000
Ньюфаундленд;1000
Ирак;1000
